Plateifu,Age,Distance,Redshift,Velocity,X,Y,Z,Frame,Filename,Pixels,Shape,Adjusted_Pixels,Adjusted_Length
8309-1901,-0.0093935496361519,-2.8772691231143463,-0.000649693,-194.773061415394,-1.4722677149191623,-0.8539007456912043,2.3199049331690107,1,manga-8309-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1156,"(35, 34, 34)",50000.0,223.0
10482-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10482-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10482-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10482-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10482-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10482-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10482-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10482-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10482-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10482-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10481-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10481-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10146-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10146-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10144-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10144-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10486-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10486-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10482-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10482-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10481-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10481-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10481-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10481-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10481-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10481-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12033-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12033-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12032-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12032-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12032-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12032-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12032-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12032-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12032-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12032-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12032-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12032-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
10142-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10142-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10481-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10481-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10141-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10141-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10482-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10482-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10483-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10483-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10490-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10490-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10485-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10485-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10485-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10485-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10485-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10485-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10485-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10485-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10485-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10485-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10485-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10485-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10485-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10485-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10483-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10483-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10484-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
