Plateifu,Age,Distance,Redshift,Velocity,X,Y,Z
10001-12701,0.5506918175470821,178.86973651382297,0.0392074,11754.0828177892,-65.82036990565996,69.67347532116841,151.02207912314373
10001-12702,0.5725513042642719,186.40047306133656,0.0408108,12234.7700449464,-69.2131905705147,72.46374293720271,157.1740327410055
10001-12703,0.6457799134880685,211.87875122124038,0.046209400000000005,13853.2296087052,-82.8278257489652,79.93797499494235,177.88219881280784
10001-12704,0.20198195054799267,63.244368428422206,0.0141215,4233.519195647,-23.485842799307495,24.328826414363526,53.44505151289491
10001-12705,0.6461244507332268,211.99954359839884,0.0462349,13860.8743163842,-83.0789775018474,78.14914151292277,178.7019912143402
10001-1901,0.36520330066722734,116.32455631275839,0.0257497,7719.565855762599,-43.426010716282086,46.03420229005721,97.60346415034428
10001-1902,0.3602081516543899,114.67330475679817,0.0253909,7612.0003218322,-43.78630969842016,45.03600590885051,95.94000249435857
10001-3701,0.5535808759120084,179.8630768874005,0.039419100000000006,11817.5488811478,-65.88212249139443,71.98432280006352,151.0911302308911
10001-3702,0.3632072243608623,115.66450596053372,0.0256063,7676.575617285399,-42.768659632563285,46.003995903255344,97.12235609406085
10001-3703,0.5690373603585402,185.1875893769938,0.04055280000000001,12157.4235907824,-69.50023185573788,70.49839535589958,156.50602954360585
10001-3704,0.43497861390427567,139.57011634287497,0.0307813,9228.0015874354,-53.84145355364991,54.00998777601227,116.89241410642873
10001-6101,1.579713044429203,573.3074002158864,0.11900100000000002,35675.602294458,-225.90695746000455,210.35863389501395,483.1114435192834
10001-6102,0.37014159128467977,117.95869565233677,0.0261046,7825.962199106799,-43.10874637227865,46.79183537183977,99.3298243668326
10001-6103,0.5700399215279502,185.5335462472846,0.0406264,12179.4883156912,-69.4654065228878,71.9131281646381,156.2874149676792
10001-6104,0.9262308818774588,313.1214091851343,0.0672827,20170.8460138766,-124.63471606350681,117.76347291281407,261.9980322242254
10001-9101,0.5626735115179591,182.99327518823068,0.040085800000000005,12017.4205128964,-68.02916422729494,70.7468719369152,154.4456269688235
10001-9102,1.0972926826381126,377.8388642053248,0.08045680000000001,24120.3418348144,-149.0582425862137,144.86066007647628,315.53008855462093
10141-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10142-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10142-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10142-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10142-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10142-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10142-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10142-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10143-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10143-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10143-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10143-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10143-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10143-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10143-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10144-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10144-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10144-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10144-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10144-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10144-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10144-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10145-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10145-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10145-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10145-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10145-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10145-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10145-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10146-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10146-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10146-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10146-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10146-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10146-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10146-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10147-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10147-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10147-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10147-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10147-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10147-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10147-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10148-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10148-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10148-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10148-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10148-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10148-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10148-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10149-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10149-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10149-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10149-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10149-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10149-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10149-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10150-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10150-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10150-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10150-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10150-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10150-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10150-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10213-12701,1.8592029049928454,695.9346398162336,0.142333,42670.35992451399,-282.1624262170062,416.28328578558023,481.0588468192267
10213-12702,0.521604603116475,168.90185479109914,0.037079600000000004,11116.1844256568,-69.1635061342242,101.49346476974266,115.94534307218929
10213-12703,0.5276596344551284,170.97189180969275,0.037522,11248.812609076,-66.88063428994046,102.4660494077644,119.41137828836122
10213-12704,1.0903596103899778,375.1707980630391,0.079918,23958.813658444,-155.65621470155597,226.60388766683096,255.29384763115434
10213-12705,0.44556468436371427,143.12635674716324,0.0315479,9457.8224857382,-58.225203855477766,89.89519772810928,94.94120842462684
10213-1901,0.3435862440419546,109.1908924577855,0.0241983,7254.4678364214,-44.423771111556654,65.65612304449307,75.08963352369013
10213-1902,0.6817915701151045,224.55107877671497,0.0488798,14653.7953885484,-92.49501960048664,139.99348337723296,149.2303016843444
10213-3701,1.867046901558235,699.4814448717723,0.142999,42870.02170154199,-274.72227869937956,425.1919775085906,482.7149713531338
10213-3702,1.9350140092736756,730.4612034838418,0.148796,44607.918580568,-283.22948290811337,440.24031738894377,509.45371993140594
10213-3703,0.2890027199547322,91.3200190039809,0.0202965,6084.737623796999,-36.544601127414445,54.50053040378255,63.51007939714755
10213-3704,1.674497297486562,614.089017002671,0.12682800000000002,38022.077863224,-244.39972982745326,370.1615199936398,424.681694895804
10213-6101,0.8775968231356184,295.13869707092675,0.0635822,19061.4640230476,-112.88124208923746,182.64331384108837,202.49961877065576
10213-6102,0.889456824736889,299.50723519858803,0.0644828,19331.4571107224,-119.63783933829262,186.53305218788915,201.48645556522513
10213-6103,0.5737849593872669,186.82649519487805,0.0409014,12261.9312416412,-69.8970262307689,115.88614692646817,128.79808221178615
10213-6104,0.8864794397584137,298.4095253285988,0.0642566,19263.6440567228,-118.63243917490112,185.68053896995278,201.23947582440402
10213-9101,0.3263401647799347,103.52256396141934,0.0229631,6884.1641922998,-39.90555095445815,62.96968024130849,71.82818125551185
10213-9102,0.26761127305873306,84.37139454160457,0.0187734,5628.123731017199,-35.09110114019211,51.50879097747969,56.86819224929008
10214-12701,0.4113529936777647,131.66154649258505,0.0290735,8716.016027663,-55.55912774007668,91.81953133356285,76.27004533410114
